,,P41,P42,P43,P44,P45,P46,Baro,T1,T2,T3
,,1,2,3,4,5,6,,,,
,,[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[in.hga],[°C],[°C],[°C]
6/8/2018,5:46:40 AM,22.277,11.701,22.113,21.561,17.372,15.601,28.885,29.21,29.287,28.917
6/8/2018,6:03:20 AM,22.235,11.634,22.085,21.532,17.346,15.53,28.883,29.144,29.228,28.847
6/8/2018,6:20:00 AM,22.223,11.575,22.075,21.53,17.309,15.507,28.88,29.239,29.291,28.915
6/8/2018,6:36:40 AM,22.18,11.477,22.05,21.502,17.225,15.458,28.883,29.193,29.256,28.97
6/8/2018,6:53:20 AM,22.145,11.386,22.053,21.476,17.197,15.392,28.885,29.053,29.123,28.828
6/8/2018,7:10:00 AM,22.181,11.315,22.008,21.448,17.151,15.331,28.878,29.066,29.138,28.668
6/8/2018,7:26:40 AM,22.146,11.253,21.986,21.416,17.078,15.261,28.876,29.101,29.177,28.793
6/8/2018,7:43:20 AM,22.13,11.174,21.96,21.392,17.065,15.208,28.879,29.146,29.243,28.889
6/8/2018,8:00:00 AM,22.097,11.092,21.958,21.364,16.985,15.15,28.883,29.151,29.194,28.877
6/8/2018,8:16:40 AM,22.065,11.035,21.934,21.377,16.955,15.091,28.883,29.051,29.136,28.7
6/8/2018,8:33:20 AM,22.078,10.956,21.875,21.328,16.905,15.029,28.881,29.019,29.092,28.749
6/8/2018,8:50:00 AM,22.011,10.877,21.88,21.297,16.849,14.978,28.888,29.031,29.121,28.801
6/8/2018,9:06:40 AM,21.977,10.796,21.857,21.271,16.802,14.914,28.892,28.97,29.042,28.606
6/8/2018,9:23:20 AM,21.986,10.728,21.83,21.252,16.74,14.85,28.891,29.02,29.098,28.7
6/8/2018,9:40:00 AM,21.943,10.661,21.809,21.204,16.699,14.784,28.891,29.068,29.122,28.713
6/8/2018,9:56:40 AM,21.959,10.596,21.784,21.189,16.669,14.765,28.89,28.918,28.984,28.621
6/8/2018,10:13:20 AM,21.879,10.5,21.755,21.142,16.59,14.692,28.888,28.932,29.007,28.589
6/8/2018,10:30:00 AM,21.906,10.418,21.75,21.133,16.562,14.645,28.895,28.879,28.979,28.617
6/8/2018,10:46:40 AM,21.856,10.346,21.702,21.107,16.512,14.579,28.914,28.764,28.848,28.447
